age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,deposit,Target
55.0,retired,single,3.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
41.0,technician,single,3.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
37.0,admin,married,3.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,technician,married,5.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
54.0,blue-collar,divorced,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
34.0,services,married,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
52.0,technician,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
41.0,admin,married,5.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
56.0,technician,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
32.0,entrepreneur,married,3.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
38.0,admin,single,4.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
57.0,admin,married,5.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
57.0,admin,married,5.0,no,yes,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
40.0,blue-collar,married,2.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,admin,married,5.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
45.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
54.0,admin,married,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
39.0,housemaid,married,2.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
60.0,admin,married,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
53.0,admin,single,4.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
25.0,technician,single,5.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
51.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
48.0,admin,married,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
37.0,admin,married,5.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
44.0,blue-collar,single,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
56.0,admin,married,2.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
41.0,management,married,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
44.0,management,divorced,5.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
55.0,technician,married,5.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
38.0,technician,single,5.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
31.0,admin,divorced,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
41.0,management,married,2.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
39.0,admin,married,5.0,no,yes,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
49.0,technician,married,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,1.0
34.0,admin,married,3.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,admin,married,5.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
33.0,unemployed,married,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,blue-collar,married,2.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
45.0,services,married,4.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,management,married,5.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
37.0,technician,single,4.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
44.0,blue-collar,married,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
49.0,blue-collar,married,2.0,no,no,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
52.0,admin,divorced,5.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
52.0,admin,divorced,5.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
34.0,housemaid,married,2.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,admin,married,3.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,services,divorced,3.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
37.0,management,married,5.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,blue-collar,married,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
52.0,admin,divorced,5.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
49.0,blue-collar,divorced,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
41.0,services,married,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
45.0,technician,married,3.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
32.0,admin,married,5.0,no,yes,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,admin,married,5.0,no,no,yes,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
50.0,admin,married,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
31.0,technician,divorced,4.0,no,yes,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
56.0,retired,married,2.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
37.0,blue-collar,married,2.0,no,yes,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
37.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
52.0,management,married,5.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
39.0,management,divorced,5.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
34.0,services,married,3.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
43.0,unemployed,single,5.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
39.0,management,married,5.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
53.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,admin,single,3.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
51.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,blue-collar,married,2.0,no,yes,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
43.0,technician,single,4.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
59.0,services,married,3.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
24.0,management,single,5.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
37.0,entrepreneur,married,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
38.0,services,married,3.0,no,yes,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
54.0,management,divorced,5.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
45.0,technician,married,5.0,no,yes,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
43.0,services,married,3.0,no,no,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
46.0,management,married,2.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
44.0,services,married,3.0,no,yes,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
51.0,admin,single,2.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
28.0,services,married,3.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
37.0,blue-collar,married,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
34.0,technician,married,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,blue-collar,married,2.0,no,yes,yes,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,1.0
36.0,admin,married,5.0,no,yes,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
57.0,management,married,5.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
34.0,admin,married,5.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
41.0,technician,married,4.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
38.0,blue-collar,single,2.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
45.0,management,divorced,5.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,technician,married,5.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
48.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
43.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
33.0,services,married,3.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
32.0,services,single,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
39.0,blue-collar,married,3.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
44.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,unemployed,married,4.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,services,single,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,student,single,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
55.0,housemaid,divorced,5.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
59.0,admin,married,5.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
40.0,services,married,3.0,no,no,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,admin,married,3.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
40.0,technician,married,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
58.0,retired,married,5.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,technician,married,5.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,admin,single,5.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
45.0,blue-collar,married,2.0,no,yes,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
39.0,admin,married,4.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
50.0,services,divorced,4.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
44.0,admin,married,4.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
56.0,blue-collar,married,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
48.0,admin,married,3.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
57.0,retired,married,3.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,technician,single,4.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
34.0,management,married,5.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
34.0,services,single,2.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
32.0,technician,single,4.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,technician,single,3.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,blue-collar,single,3.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
33.0,services,single,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
40.0,technician,divorced,4.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
41.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
51.0,services,married,2.0,no,yes,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,technician,married,4.0,no,yes,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
53.0,services,married,3.0,no,yes,yes,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
45.0,management,married,2.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
33.0,admin,married,3.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
33.0,admin,married,3.0,no,no,yes,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,technician,married,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
43.0,admin,divorced,2.0,no,no,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,admin,married,5.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
27.0,blue-collar,single,2.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
34.0,self-employed,single,5.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
54.0,management,divorced,5.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
47.0,management,divorced,5.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
32.0,admin,single,3.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
34.0,services,married,3.0,no,no,no,telephone,may,mon,1.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
47.0,technician,single,2.0,no,no,no,telephone,may,mon,4.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
51.0,retired,married,4.0,no,no,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
47.0,blue-collar,married,2.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
56.0,technician,married,2.0,no,yes,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
53.0,admin,married,2.0,no,no,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,blue-collar,divorced,2.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
44.0,blue-collar,divorced,2.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
39.0,housemaid,married,2.0,no,yes,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,1.0
37.0,admin,single,3.0,no,yes,yes,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,services,married,3.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,management,divorced,5.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
31.0,admin,married,3.0,no,yes,yes,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
45.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
37.0,technician,single,4.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
47.0,self-employed,married,4.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
49.0,blue-collar,divorced,3.0,no,no,yes,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,admin,married,5.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35.0,services,divorced,3.0,no,no,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,admin,married,3.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
57.0,housemaid,divorced,2.0,no,yes,yes,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,admin,married,5.0,no,yes,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
41.0,blue-collar,married,2.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
54.0,management,divorced,5.0,no,yes,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
27.0,admin,single,5.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
36.0,admin,married,3.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
33.0,admin,divorced,3.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
56.0,retired,married,2.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
42.0,blue-collar,married,2.0,no,no,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
43.0,services,married,3.0,no,yes,no,telephone,may,mon,2.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
54.0,management,single,2.0,no,yes,no,telephone,may,mon,3.0,Never,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
